Time (ms),X-accel (g),Y-accel (g),Z-accel (g),X-gyro (deg/sec),Y-gyro (deg/sec),Z-gyro (deg/sec),Temperature (deg C),Pressure (hPa),Altitude (m),Relative Humidity (%),
49920,3.33,-0.83,7.53,-0.03,0.01,-0.01,24.64,996.76,138.19,31.48,
50033,3.38,-0.84,6.22,-0.02,0.01,-0.01,24.64,996.76,138.23,31.48,
50146,3.07,0.3,9.06,-0.02,0.03,-0.01,24.64,996.73,138.44,31.49,
50258,3.29,-1.28,9.48,-0.04,0.02,0.01,24.64,996.75,138.33,31.48,
50371,3.37,-0.33,7.8,-0.02,0.01,-0.02,24.64,996.76,138.21,31.43,
50484,2.42,1.68,10.75,-0.05,-0.03,0,24.64,996.73,138.48,31.49,
50596,3.99,0.02,6.92,0.01,0.03,-0.02,24.64,996.75,138.25,31.49,
50709,3.15,0.88,8.7,-0.03,0.02,-0.01,24.64,996.74,138.39,31.49,
50822,3.76,-2,8.18,-0.04,0.05,0,24.64,996.75,138.29,31.49,
50934,3.51,-1.94,8.59,0,0.08,-0.02,24.64,996.75,138.3,31.49,
51047,3.34,-0.51,8.67,-0.02,0.01,-0.01,24.64,996.78,138.06,31.47,
51161,4.01,-0.57,7.96,0,0.03,-0.03,24.64,996.75,138.31,31.49,
51273,2.91,1.04,9.77,-0.02,0,-0.01,24.64,996.76,138.25,31.49,
51386,3.68,-0.49,7.65,-0.03,0.03,-0.01,24.64,996.75,138.32,31.49,
51500,3.46,0.38,8.48,-0.05,0,0.01,24.64,996.72,138.52,31.49,
51612,2.52,-1.08,8.56,-0.04,-0.01,-0.01,24.65,996.75,138.32,31.49,
51726,3.97,-1.17,8.44,-0.02,0.03,-0.03,24.65,996.76,138.23,31.44,
51840,3.6,-0.69,8.66,0,0.05,-0.03,24.64,996.75,138.31,31.49,
51952,3.19,-0.51,8.67,-0.01,0.01,-0.02,24.64,996.76,138.24,31.49,
52065,3.53,0.48,7.98,-0.03,0.02,-0.02,24.64,996.73,138.42,31.49,
52177,3.85,0.41,7.44,-0.01,0.05,-0.02,24.65,996.76,138.2,31.5,
52290,3.1,0.04,9.9,-0.04,0.04,0,24.65,996.75,138.31,31.49,
52403,3.59,-0.47,6.69,-0.01,0.04,-0.03,24.65,996.76,138.2,31.4,
52515,2.65,1.42,9.27,-0.03,0.01,0,24.65,996.74,138.34,31.51,
52628,3.83,-1.34,8.47,-0.04,0.03,-0.01,24.65,996.72,138.51,31.5,
52741,3.46,-0.24,8.56,-0.02,0.02,-0.01,24.65,996.72,138.54,31.49,
52854,3.28,-0.02,8.73,-0.02,0.02,-0.01,24.65,996.74,138.34,31.5,
52967,3.33,0.01,8.65,-0.03,0.01,-0.01,24.65,996.74,138.41,31.5,
53080,3.31,-0.18,8.78,-0.02,0.02,-0.01,24.66,996.74,138.4,31.53,
53192,3.27,0.04,8.8,-0.02,0.01,-0.02,24.66,996.74,138.37,31.53,
53305,3.27,-0.05,8.78,-0.02,0.02,-0.01,24.66,996.76,138.2,31.5,
53419,3.19,-0.07,8.7,-0.03,0.01,-0.01,24.65,996.76,138.2,31.5,
53531,3.84,1.43,9.06,-0.02,0.01,-0.02,24.65,996.73,138.48,31.5,
53644,2.72,0.11,8.48,-0.01,0.01,-0.01,24.66,996.74,138.34,31.49,
53756,3.41,-0.1,7.54,-0.04,0.01,-0.01,24.66,996.73,138.48,31.5,
53869,4.04,-2.08,8.72,-0.01,0.07,-0.02,24.66,996.77,138.15,31.56,
53982,3.46,-0.61,7.5,-0.02,0.01,-0.01,24.66,996.75,138.33,31.5,
54095,3.15,-0.14,8.6,-0.02,0.02,-0.02,24.66,996.72,138.51,31.5,
54208,3.32,-0.02,8.78,-0.03,0.02,-0.01,24.66,996.73,138.42,31.5,
54322,3.22,-0.04,8.72,-0.02,0.02,-0.01,24.66,996.73,138.43,31.5,
54434,3.35,0.04,8.75,-0.02,0.02,-0.01,24.66,996.74,138.34,31.5,
54547,3.26,-0.03,8.77,-0.02,0.01,-0.01,24.66,996.76,138.18,31.53,
54660,3.24,-0.03,8.68,-0.02,0.02,-0.01,24.66,996.74,138.34,31.5,
54773,3.15,0,8.78,-0.02,0.02,-0.01,24.66,996.74,138.37,31.5,
54885,3.27,0.03,8.83,-0.02,0.02,-0.01,24.66,996.73,138.47,31.5,
54998,3.26,0.02,8.82,-0.03,0.01,-0.01,24.66,996.74,138.36,31.5,
55110,3.23,-0.01,8.74,-0.02,0.02,-0.01,24.66,996.74,138.34,31.51,
55223,3.22,0,8.82,-0.02,0.02,-0.01,24.66,996.75,138.27,31.53,
55335,3.33,0,8.66,-0.02,0.02,-0.01,24.66,996.76,138.22,31.53,
55448,3.22,-0.01,8.73,-0.02,0.02,-0.01,24.66,996.74,138.38,31.51,
55561,3.28,0.07,8.74,-0.02,0.02,-0.01,24.66,996.73,138.45,31.5,
55673,3.27,-0.03,8.65,-0.02,0.02,-0.01,24.67,996.74,138.37,31.5,
55786,3.24,0.04,8.75,-0.03,0.02,-0.01,24.67,996.76,138.2,31.5,
55899,3.23,-0.09,8.8,-0.02,0.02,-0.02,24.67,996.75,138.29,31.5,
56012,3.19,-0.05,8.75,-0.03,0.02,-0.02,24.67,996.79,137.97,31.54,
56125,3.24,-0.05,8.72,-0.02,0.01,-0.02,24.67,996.76,138.23,31.5,
56238,3.15,-0.02,8.63,-0.02,0.02,-0.01,24.66,996.72,138.54,31.51,
56351,3.26,-0.06,8.6,-0.02,0.02,-0.01,24.67,996.76,138.22,31.5,
56464,3.27,-0.06,8.69,-0.02,0.02,-0.01,24.67,996.75,138.26,31.5,
56578,3.26,-0.06,8.76,-0.02,0.01,-0.01,24.67,996.78,138.05,31.5,
56690,3.22,-0.05,8.66,-0.02,0.02,-0.01,24.67,996.75,138.31,31.5,
56803,3.25,-0.06,8.71,-0.02,0.01,-0.01,24.67,996.76,138.22,31.48,
56916,3.35,-0.02,8.66,-0.02,0.01,-0.01,24.67,996.73,138.45,31.5,
57029,3.18,-0.03,8.78,-0.02,0.02,-0.01,24.67,996.76,138.23,31.5,
57143,3.28,0.09,8.68,-0.02,0.02,-0.02,24.67,996.76,138.24,31.5,
57254,3.19,-0.02,8.71,-0.02,0.01,-0.01,24.67,996.75,138.33,31.5,
57368,3.29,-0.05,8.81,-0.03,0.01,-0.01,24.67,996.74,138.39,31.5,
57481,3.22,-0.07,8.61,-0.02,0.02,-0.01,24.68,996.73,138.33,31.52,
57594,3.22,-0.04,8.65,-0.02,0.02,-0.02,24.68,996.72,138.56,31.5,
57707,3.29,-0.01,8.75,-0.03,0.02,-0.01,24.67,996.73,138.46,31.5,
57820,3.25,-0.01,8.73,-0.02,0.02,-0.01,24.68,996.73,138.47,31.52,
57933,3.34,-0.03,8.62,-0.02,0.01,-0.01,24.68,996.72,138.55,31.5,
58046,3.28,-0.06,8.66,-0.03,0.02,-0.01,24.68,996.73,138.44,31.5,
58160,3.26,0,8.72,-0.02,0.02,-0.01,24.68,996.73,138.48,31.58,
58272,3.24,0.03,8.79,-0.02,0.02,-0.01,24.68,996.72,138.52,31.5,
58384,3.17,0.11,8.91,-0.02,0.02,-0.01,24.68,996.73,138.48,31.5,
58497,3.23,-0.08,8.79,-0.02,0.01,-0.01,24.67,996.73,138.47,31.5,
58610,3.22,-0.1,8.68,-0.02,0.01,-0.02,24.67,996.72,138.51,31.5,
58723,3.26,-0.08,8.75,-0.03,0.01,-0.01,24.68,996.74,138.41,31.5,
58835,3.13,-0.05,8.71,-0.02,0.02,-0.01,24.68,996.74,138.4,31.52,
58949,3.25,-0.01,8.77,-0.03,0.02,-0.01,24.68,996.74,138.38,31.46,
59062,3.32,0.11,8.74,-0.02,0.01,0,24.68,996.72,138.52,31.5,
59174,3.33,-0.09,8.61,-0.02,0.02,-0.01,24.68,996.73,138.47,31.5,
59287,3.28,-0.05,8.72,-0.03,0.02,-0.03,24.68,996.73,138.5,31.52,
59401,3.24,-0.1,8.73,-0.02,0.02,-0.01,24.68,996.76,138.16,31.52,
59513,3.31,-0.09,8.72,-0.02,0.01,0,24.68,996.76,138.19,31.52,
59627,3.15,-0.02,8.69,-0.03,0.02,-0.02,24.68,996.73,138.42,31.61,
59740,3.14,0.06,8.71,-0.02,0.01,-0.01,24.69,996.74,138.39,31.52,
59852,3.23,-0.03,8.7,-0.02,0.01,-0.01,24.68,996.74,138.33,31.52,
59965,3.26,-0.02,8.74,-0.02,0.02,-0.01,24.68,996.75,138.32,31.5,
60079,3.21,-0.01,8.77,-0.02,0.01,-0.02,24.69,996.73,138.46,31.52,
60191,3.21,0.06,8.66,-0.03,0.02,-0.01,24.69,996.72,138.52,31.52,
60304,3.21,0.06,8.72,-0.03,0.02,-0.01,24.69,996.74,138.39,31.55,
60417,3.34,-0.01,8.76,-0.02,0.02,-0.01,24.69,996.74,138.42,31.52,
60529,3.27,0.02,8.73,-0.02,0.02,-0.01,24.68,996.76,138.23,31.5,
60642,3.21,-0.02,8.7,-0.02,0.01,-0.01,24.69,996.73,138.46,31.52,
60754,3.23,-0.05,8.71,-0.02,0.01,-0.01,24.69,996.73,138.44,31.52,
60868,3.22,-0.07,8.7,-0.02,0.01,-0.01,24.69,996.76,138.22,31.52,
60981,3.27,0,8.71,-0.02,0.02,-0.01,24.69,996.73,138.44,31.49,
61093,3.19,0.01,8.74,-0.02,0.01,-0.01,24.69,996.73,138.46,31.52,
61205,3.29,0.01,8.74,-0.02,0.02,-0.01,24.68,996.73,138.48,31.52,
61318,3.26,-0.05,8.68,-0.03,0.02,-0.01,24.69,996.74,138.37,31.52,
61431,3.22,0,8.76,-0.03,0.02,-0.01,24.69,996.72,138.56,31.52,
61544,3.11,-0.67,8.38,-0.01,0.02,-0.02,24.69,996.72,138.51,31.52,
61657,3.3,-0.23,8.31,-0.01,0.03,-0.01,24.69,996.73,138.48,31.5,
61769,3.24,0.03,7.87,0,0.02,-0.03,24.69,996.76,138.48,31.49,
61882,3.2,0.88,8.11,-0.02,0.03,-0.01,24.69,996.76,138.24,31.52,
61995,3.57,-1.15,6.38,-0.03,0.05,-0.01,24.69,996.72,138.57,31.52,
62107,3.49,-1.26,9.89,-0.03,0.02,-0.01,24.69,996.74,138.35,31.52,
62221,3.45,-0.95,8.39,-0.02,0.04,-0.02,24.7,996.76,138.23,31.52,
62333,2.42,0.84,10.48,-0.07,-0.06,0.02,24.7,996.75,138.28,31.52,
62447,3.84,-1.59,8.89,-0.04,0.02,0,24.69,996.77,138.09,31.47,
62560,3.49,-2.08,7.34,-0.02,0.04,-0.01,24.7,996.74,138.38,31.52,
62672,3.6,-1.67,8.17,0,0.04,-0.03,24.7,996.74,138.33,31.52,
62785,3.13,0.19,8.76,-0.02,0.01,-0.01,24.7,996.71,138.61,31.53,
62898,3.21,-0.26,8.65,-0.02,0.02,-0.01,24.7,996.78,138.01,31.52,
63010,3.15,0.03,8.69,-0.02,0.01,-0.02,24.7,996.74,138.33,31.52,
63123,2.99,0.1,8.86,-0.02,0.01,-0.01,24.71,996.76,138.19,31.51,
63236,3.16,0.06,8.68,-0.02,0.01,-0.01,24.7,996.75,138.31,31.51,
63348,3.21,0.03,8.73,-0.02,0.02,-0.02,24.71,996.77,138.14,31.53,
63460,3.23,-0.11,8.74,-0.03,0.02,-0.01,24.7,996.76,138.24,31.53,
63574,3.29,-0.02,8.66,-0.02,0.01,-0.01,24.71,996.77,138.1,31.52,
63686,3.24,0.06,8.67,-0.02,0.02,-0.01,24.71,996.76,138.23,31.52,
63799,3.33,-0.02,8.69,-0.02,0.01,-0.02,24.71,996.75,138.26,31.53,
63912,3.17,0.02,8.72,-0.02,0.02,-0.01,24.71,996.77,138.09,31.5,
64024,3.22,0.01,8.62,-0.02,0.01,-0.01,24.71,996.75,138.28,31.52,
64137,3.28,-0.02,8.65,-0.02,0.02,-0.01,24.71,996.78,138.05,31.52,
64249,3.25,0.06,8.65,-0.02,0.01,-0.01,24.71,996.77,138.12,31.52,
64362,3.29,0,8.75,-0.02,0.02,-0.01,24.71,996.75,138.31,31.52,
64476,3.22,-0.01,8.74,-0.02,0.01,-0.01,24.71,996.75,138.3,31.52,
64588,3.38,-0.05,8.37,-0.04,0.02,-0.07,24.71,996.74,138.35,31.52,
64702,3.34,-0.24,8.64,-0.01,0.02,0,24.71,996.76,138.19,31.53,
64815,2.8,-0.08,7.48,-0.02,-0.01,0.05,24.71,996.77,138.13,31.52,
64927,3.15,0.11,8.69,-0.03,0.02,0,24.71,996.77,138.09,31.53,
65040,3.56,-0.41,8.47,0.05,-0.02,0.22,24.72,996.79,137.94,31.53,
65153,3.34,0.07,8.49,-0.07,0.04,-0.14,24.72,996.78,138.03,31.53,
65265,3.2,0.11,8.65,-0.04,0.02,-0.06,24.71,996.76,138.18,31.47,
65377,3.15,-0.26,9.03,-0.02,0.04,0.01,24.72,996.78,138.01,31.55,
65489,3.01,-0.17,8.94,-0.02,0.02,0,24.71,996.76,138.2,31.52,
65602,3.25,0.1,8.76,-0.03,0.01,-0.01,24.71,996.75,138.25,31.52,
65715,3.35,0.11,8.7,-0.02,0.02,0,24.72,996.74,138.42,31.52,
65827,3.22,-0.04,8.66,-0.03,0.02,-0.02,24.72,996.75,138.29,31.52,
65940,3.51,0.22,8.72,-0.03,0.03,0.01,24.72,996.77,138.15,31.51,
66053,3.45,-0.33,8.88,-0.02,0.02,0.01,24.72,996.77,138.13,31.5,
66165,3.05,0.44,8.42,-0.05,0.03,-0.07,24.72,996.74,138.37,31.52,
66277,3.12,0.1,8.69,-0.04,0.01,-0.04,24.72,996.74,138.35,31.52,
66390,2.82,-0.28,8.82,-0.03,0.02,-0.02,24.72,996.73,138.48,31.51,
66503,3.22,-0.1,8.8,-0.02,0.02,0,24.72,996.73,138.5,31.52,
66615,2.99,0.06,8.72,-0.02,0.01,-0.02,24.72,996.72,138.55,31.51,
66727,3.08,0.14,8.78,-0.02,0.02,-0.02,24.72,996.71,138.64,31.5,
66840,4.38,-1.07,6.41,0.02,0.1,-0.03,24.72,996.74,138.4,31.46,
66953,0.02,-0.46,4,0.04,-0.06,-0.14,24.72,996.63,139.28,31.51,
67065,3.12,-0.99,4.55,0.01,0.06,-0.02,24.72,996.74,138.4,31.51,
67178,3.28,-0.45,10.31,-0.04,0.02,-0.02,24.72,996.74,138.39,31.51,
67292,1.88,3.6,8.13,0.05,0.14,0.02,24.72,996.73,138.47,31.51,
67404,2.78,0.24,8.71,-0.04,-0.01,-0.02,24.71,996.73,138.49,31.48,
67518,3.82,0.25,8.35,-0.04,0,-0.01,24.71,996.73,138.48,31.5,
67631,2.23,1.3,10.79,-0.05,-0.05,-0.01,24.71,996.72,138.55,31.5,
67744,3.51,-0.77,8.65,-0.03,0.02,-0.01,24.71,996.71,138.6,31.48,
67858,3.12,-0.07,8.56,-0.02,0.02,-0.02,24.71,996.73,138.5,31.48,
67971,2.4,1.53,10.81,-0.05,-0.04,0,24.71,996.73,138.49,31.48,
68084,3.07,0.19,8.82,-0.03,0.02,0,24.72,996.73,138.48,31.5,
68196,3.2,0.07,8.74,-0.02,0.01,-0.01,24.71,996.7,138.73,31.5,
68308,3.26,0.06,8.7,-0.02,0.02,-0.02,24.72,996.71,138.61,31.47,
68421,3.27,0.03,8.74,-0.02,0.02,-0.01,24.72,996.72,138.54,31.46,
68534,3.25,0.07,8.63,-0.02,0.02,-0.01,24.72,996.72,138.56,31.46,
68646,3.35,0.04,8.72,-0.02,0.02,-0.01,24.72,996.71,138.64,31.46,
68758,3.21,0.06,8.81,-0.02,0.02,-0.02,24.72,996.72,138.51,31.45,
68871,3.25,0.03,8.61,-0.02,0.02,-0.01,24.72,996.71,138.61,31.51,
68983,3.2,0.01,8.66,-0.02,0.01,-0.02,24.72,996.71,138.64,31.46,
69096,3.22,0,8.8,-0.02,0.02,-0.01,24.72,996.7,138.71,31.45,
69209,3.17,0.03,8.77,-0.02,0.02,-0.01,24.72,996.7,138.74,31.45,
69321,3.15,0.07,8.9,-0.02,0.02,-0.01,24.72,996.69,138.76,31.45,
69434,3.22,0.04,8.85,-0.02,0.01,-0.01,24.72,996.71,138.61,31.45,
69547,3.25,-0.04,8.8,-0.02,0.01,-0.01,24.72,996.7,138.69,31.47,
69659,3.16,0.07,8.71,-0.02,0.02,-0.01,24.72,996.71,138.62,31.45,
69772,3.21,-0.05,8.73,-0.03,0.02,-0.01,24.73,996.69,138.78,31.45,
69884,3.16,-0.02,8.67,-0.02,0.02,-0.01,24.73,996.7,138.69,31.46,
69998,3.21,0.04,8.77,-0.02,0.02,-0.01,24.72,996.7,138.7,31.46,
70110,3.15,-0.01,8.73,-0.03,0.01,-0.01,24.73,996.7,138.75,31.45,
70223,3.3,0.01,8.68,-0.02,0.02,-0.01,24.73,996.69,138.8,31.45,
70336,3.27,-0.02,8.67,-0.02,0.02,-0.01,24.73,996.69,138.83,31.44,
70449,3.21,0.1,8.7,-0.02,0.01,-0.01,24.73,996.69,138.82,31.45,
70561,3.3,0.06,8.62,-0.02,0.02,-0.02,24.73,996.68,138.85,31.45,
70674,3.24,-0.08,8.71,-0.02,0.02,-0.01,24.73,996.68,138.87,31.46,
70787,3.35,0.09,8.55,-0.02,0.02,-0.01,24.73,996.69,138.77,31.46,
70899,3.3,0.05,8.66,-0.02,0.01,-0.01,24.73,996.65,139.16,31.46,
71012,3.25,0.11,8.61,-0.03,0.01,-0.01,24.73,996.64,139.21,31.44,
71123,2.56,1.03,8.67,-0.02,0.04,0,24.73,996.67,138.95,31.46,
71236,2.4,0.02,10.84,-0.05,-0.04,0,24.73,996.66,139.09,31.46,
71351,3.17,0.14,9.05,-0.03,0.01,-0.01,24.73,996.67,138.96,31.47,
71462,3.09,0.14,8.95,-0.03,0.01,-0.01,24.73,996.65,139.12,31.47,
71575,3.33,0,8.6,-0.03,0.01,-0.01,24.73,996.67,138.98,31.47,
71689,3.23,0.04,8.7,-0.03,0.01,-0.01,24.73,996.67,138.98,31.5,
71800,3.17,0.11,8.91,-0.03,0.01,-0.01,24.73,996.68,138.91,31.47,
71913,5.87,-2.96,4.13,0.02,0.13,-0.04,24.73,996.63,139.3,31.49,
72026,4.61,-0.9,7.31,0,0.07,-0.02,24.73,996.65,139.15,31.47,
72138,3.17,0,9.05,-0.03,0.01,-0.01,24.73,996.63,139.31,31.47,
72251,3.22,0,8.76,-0.02,0.02,-0.02,24.73,996.65,139.13,31.48,
72363,3.15,0.05,8.77,-0.03,0.01,-0.01,24.74,996.66,139.08,31.49,
72475,3.31,0,8.66,-0.02,0.01,-0.01,24.73,996.64,139.24,31.53,
72589,3.43,-0.13,8.95,-0.03,0.01,-0.01,24.74,996.64,139.23,31.51,
72701,3.25,0.7,7.73,-0.02,0.04,-0.02,24.73,996.63,139.33,31.48,
72814,3.51,0.6,8.19,-0.02,0.05,-0.01,24.73,996.63,139.28,31.5,
72927,3.43,-0.39,8.3,-0.02,0.02,-0.01,24.74,996.66,139.04,31.5,
73039,3.29,0.06,8.79,-0.02,0.02,-0.02,24.74,996.64,139.21,31.5,
73152,3.23,0.09,8.66,-0.02,0.02,-0.01,24.74,996.64,139.25,31.5,
73265,3.2,-0.06,8.61,-0.02,0.02,-0.02,24.74,996.61,139.43,31.5,
73377,2.96,2.03,8.77,-0.06,-0.03,0.01,24.74,996.62,139.36,31.5,
73490,3.34,-1.51,8.43,-0.08,-0.1,0.02,24.74,996.61,139.45,31.5,
73603,2.96,0.26,8.57,-0.02,0.02,-0.01,24.73,996.57,139.77,31.5,
73715,3.19,0.06,8.63,-0.02,0.02,-0.02,24.74,996.59,139.66,31.5,
73828,3.13,0.17,9.03,-0.02,0.01,-0.01,24.74,996.6,139.59,31.5,
73940,3.25,0.07,8.76,-0.02,0.02,-0.01,24.74,996.63,139.28,31.5,
74052,3.37,-0.86,8.47,-0.02,0.02,-0.02,24.75,996.62,139.38,31.5,
74166,5.94,-3.63,5.55,0.01,0.09,-0.04,24.74,996.6,139.59,31.51,
74278,2.43,0.26,9.73,-0.03,0,-0.01,24.74,996.59,139.61,31.51,
74391,3.29,0.11,8.87,-0.02,0.01,-0.01,24.75,996.6,139.53,31.5,
74504,3.33,-0.14,8.51,-0.02,0.02,-0.01,24.75,996.61,139.44,31.5,
74616,3.48,-0.76,7.88,-0.01,0.03,-0.02,24.75,996.6,139.57,31.53,
74730,2.95,0.54,9.72,-0.02,0.01,-0.01,24.76,996.59,139.61,31.52,
74842,3.07,-1.1,10.36,-0.04,-0.01,0,24.75,996.59,139.65,31.51,
74957,0.67,2.73,13.62,-0.08,-0.09,0.02,24.75,996.57,139.83,31.51,
75070,3.64,-0.27,8.61,-0.02,0.01,-0.01,24.75,996.59,139.65,31.51,
75184,3.27,0.08,8.73,-0.02,0.01,-0.01,24.75,996.58,139.73,31.51,
75295,3.09,0.05,8.85,-0.03,0.01,-0.01,24.76,996.57,139.78,31.5,
75408,3.22,0.17,8.94,-0.02,0.01,-0.01,24.76,996.6,139.77,31.56,
75521,3.24,0.06,8.81,-0.02,0.02,-0.01,24.76,996.57,139.8,31.51,
75633,1.99,0.75,12.32,-0.03,-0.03,0,24.75,996.59,139.65,31.51,
75746,4.66,-1.13,5.48,-0.01,0.07,-0.02,24.75,996.56,139.88,31.51,
75859,1.23,1.6,13.47,-0.05,-0.08,0,24.76,996.56,139.93,31.51,
75972,3.9,-0.86,6.61,-0.01,0.05,-0.02,24.76,996.59,139.66,31.51,
76085,3.27,0.14,9.24,-0.03,0.01,-0.01,24.76,996.55,139.98,31.52,
76197,3.18,0.04,8.75,-0.02,0.02,-0.02,24.76,996.58,139.7,31.51,
76310,2.88,0.74,8.82,-0.04,-0.03,0,24.76,996.59,139.6,31.51,
76423,3.56,-0.11,9.83,-0.05,-0.05,-0.01,24.76,996.57,139.8,31.5,
76537,4.46,-1.03,5.9,-0.02,0.03,-0.01,24.76,996.55,139.96,31.5,
76650,3.36,-0.31,8.43,-0.02,0.02,-0.01,24.77,996.57,139.78,31.51,
76764,3.13,0.14,8.67,-0.02,0.01,-0.01,24.77,996.56,139.86,31.54,
76875,3.23,-0.04,8.69,-0.03,0.01,-0.01,24.77,996.56,139.89,31.48,
76989,3.28,-0.02,8.94,-0.02,0.02,-0.01,24.76,996.57,139.81,31.5,
77102,1.49,2.24,12,-0.07,-0.09,0.01,24.76,996.56,139.88,31.51,
77215,4.08,0.81,7.75,-0.02,0.06,0,24.77,996.56,139.88,31.5,
77328,3.92,-0.65,6.8,0.02,0.12,-0.03,24.77,996.57,139.8,31.5,
77440,3.74,-0.1,7.85,-0.02,0.03,-0.01,24.77,996.57,139.8,31.48,
77553,3.11,0.28,9.05,-0.03,0.01,-0.01,24.77,996.57,139.84,31.53,
77666,3.35,0.05,8.64,-0.02,0.02,-0.01,24.77,996.54,140.07,31.51,
77777,3.25,-0.76,7.82,-0.04,0,0,24.77,996.56,139.87,31.5,
77892,2.19,1.5,11.56,-0.04,-0.03,0,24.77,996.55,139.98,31.5,
78005,2.8,0.45,9.54,-0.02,0.01,-0.02,24.77,996.56,139.88,31.5,
78117,3.31,0.04,8.72,-0.02,0.02,-0.01,24.77,996.58,139.76,31.5,
78230,3.21,0.06,8.91,-0.03,0.01,-0.01,24.78,996.54,140.05,31.41,
78343,3.21,-0.03,8.79,-0.02,0.02,-0.01,24.77,996.56,139.92,31.5,
78455,2.64,4.23,11.67,0.03,0.11,-0.02,24.77,996.53,140.14,31.5,
78568,5.08,-3.06,5.77,0.02,0.08,-0.04,24.77,996.53,140.11,31.5,
78681,3.09,-0.3,8.04,-0.01,0.05,-0.02,24.78,996.55,140.01,31.5,
78793,3.5,-0.22,8.43,-0.02,0.02,-0.02,24.78,996.55,139.94,31.5,
78906,3.13,0.03,8.8,-0.02,0.02,-0.01,24.78,996.52,140.22,31.6,
79019,3.35,0.01,8.59,-0.02,0.01,-0.01,24.78,996.55,139.99,31.5,
79131,2.93,-0.04,9.36,-0.02,0.01,-0.02,24.78,996.54,140.08,31.5,
79244,3.29,-0.27,8.08,-0.01,0.02,-0.01,24.78,996.53,140.13,31.5,
79357,4.57,-1.23,5.59,0,0.08,-0.02,24.78,996.55,140,31.5,
79470,4.04,-0.65,7.22,-0.03,0.01,-0.01,24.78,996.54,140.04,31.5,
79584,3.03,0.43,9.51,-0.03,0,-0.01,24.78,996.54,140.09,31.48,
79695,3.28,-0.34,8.71,-0.02,0.02,-0.01,24.78,996.54,140.28,31.51,
79809,2.05,2,11.76,-0.07,-0.05,0.01,24.78,996.52,140.23,31.5,
79922,3.05,0.26,8.5,-0.05,-0.04,0,24.78,996.53,140.18,31.5,
80034,1.17,1.88,13.55,-0.05,-0.06,0,24.78,996.51,140.29,31.49,
80147,2.84,0.34,9.4,-0.02,0,-0.01,24.78,996.52,140.21,31.5,
80260,3.36,-0.06,8.54,-0.02,0.02,-0.01,24.78,996.54,140.09,31.49,
80373,3.31,-0.06,8.82,-0.02,0.02,-0.01,24.78,996.53,140.13,31.52,
80486,2.3,1.3,9.9,-0.04,-0.03,-0.02,24.78,996.54,140.1,31.49,
80599,3.72,-1,6.7,0,0.05,-0.02,24.78,996.53,140.17,31.49,
80711,3.8,-0.6,7.39,-0.02,0.03,-0.01,24.78,996.54,140.09,31.49,
80825,3.15,0.33,9.3,-0.03,0,-0.01,24.79,996.55,140,31.5,
80937,3.33,0.01,8.82,-0.02,0.02,-0.01,24.78,996.5,140.38,31.49,
81049,3.26,-0.1,8.6,-0.02,0.02,-0.01,24.79,996.53,140.11,31.5,
81163,1.61,2.41,10.78,-0.04,-0.03,0,24.79,996.55,139.97,31.51,
81276,4.01,-1.63,9.57,0,0.04,-0.03,24.78,996.54,140.06,31.49,
81389,1.07,1.65,13.81,-0.07,-0.1,0.01,24.79,996.56,139.87,31.49,
81502,2.77,0.73,10.08,-0.03,0,-0.01,24.79,996.54,140.09,31.5,
81616,3.19,0.03,8.77,-0.03,0.02,-0.01,24.79,996.56,139.86,31.49,
81729,3.11,0.09,8.8,-0.02,0.02,-0.01,24.79,996.53,140.11,31.49,
81841,3.04,0.15,8.72,-0.02,0.01,-0.01,24.79,996.56,139.88,31.41,
81953,3.81,-0.48,7.04,-0.04,0,-0.01,24.79,996.58,139.76,31.49,
82067,0.71,1.92,14.37,-0.07,-0.11,0.01,24.78,996.58,139.7,31.49,
82180,0.9,1.94,14.25,-0.06,-0.08,0,24.79,996.58,139.77,31.49,
82292,2.81,0.65,9.71,-0.04,-0.01,-0.01,24.79,996.57,139.79,31.49,
82406,3.21,0.1,8.92,-0.03,0.02,-0.01,24.79,996.58,139.72,31.48,
82519,3.33,0.09,8.7,-0.02,0.01,-0.01,24.79,996.56,139.88,31.57,
82630,5.05,-2.9,5.65,-0.09,-0.11,0.01,24.8,996.58,139.73,31.48,
82744,0.49,2.52,15.61,-0.05,-0.03,0,24.79,996.59,139.6,31.49,
82856,2.8,0.5,9.46,-0.01,0.03,-0.02,24.79,996.57,139.83,31.49,
82969,3.27,-0.05,8.53,-0.02,0.02,-0.01,24.79,996.57,139.78,31.49,
83083,3.2,0.07,8.81,-0.02,0.02,-0.01,24.79,996.56,139.86,31.49,
83194,3.25,0.05,8.76,-0.03,0.02,-0.02,24.79,996.57,139.78,31.46,
83307,3.25,0.06,8.69,-0.02,0.02,-0.01,24.79,996.56,139.89,31.5,
83420,3.29,0.05,8.82,-0.03,0.02,-0.01,24.79,996.58,139.72,31.48,
83532,3.23,-0.07,8.71,-0.02,0.01,-0.01,24.79,996.58,139.69,31.49,
83645,3.22,0.11,8.63,-0.03,0.01,-0.01,24.79,996.59,139.65,31.48,
83758,3.28,-0.01,8.72,-0.02,0.02,-0.01,24.79,996.6,139.58,31.48,
83870,3.02,0,8.65,-0.03,0.02,-0.01,24.79,996.58,139.69,31.45,
